,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,group,poscar_name,vacancy_poscar_name,E_vac_min,minimum
468,493,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s28_0,60.0%,-753.92201983,4.436299999999999,,,,,,,-768.03725776,,8.184757860000035,4.436299999999999,higher_symmetry,Al2O3_Pna2_1_s28_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,group_13_metal_oxides_Al2O3_Pna2_1_s28_0_60.0%,-753.92201983,True
480,505,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s25_0,50.0%,-730.71416666,2.2078999999999995,0.0168870407500003,4.8274,,-737.80335654,1.1587098099999356,2.2078999999999995,rattle,Al2O3_Pna2_1_s25_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s25_0_50.0%,-730.71416666,True
500,525,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s32_0,-40.0%,-732.56456687,1.0123000000000006,0.0168870407500003,4.8274,,-737.80335654,-0.6916904000000397,1.0123000000000006,rattle,Al2O3_Pna2_1_s32_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s32_0_-40.0%,-732.56456687,True
506,531,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s24_0,50.0%,-732.42547964,0.8871000000000002,0.0168870407500003,4.8274,,-737.80335654,-0.5526031700000669,0.8871000000000002,rattle,Al2O3_Pna2_1_s24_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s24_0_50.0%,-732.42547964,True
531,556,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s18_0,10.0%,-733.51802691,2.2596000000000007,0.0168870407500003,4.8274,,-737.80335654,-1.6451504400000214,2.2596000000000007,rattle,Al2O3_Pna2_1_s18_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s18_0_10.0%,-733.51802691,True
532,557,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s30_0,50.0%,-732.26074372,2.0012000000000008,0.0168870407500003,4.8274,,-737.80335654,-0.3878672500000686,2.0012000000000008,rattle,Al2O3_Pna2_1_s30_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s30_0_50.0%,-732.26074372,True
555,580,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s31_0,-60.0%,-732.8581628,1.5055000000000005,0.0168870407500003,4.8274,,-737.80335654,-0.9852863299999637,1.5055000000000005,rattle,Al2O3_Pna2_1_s31_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s31_0_-60.0%,-732.8581628,True
560,585,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s19_0,-10.0%,-733.80923144,2.5185000000000004,0.0168870407500003,4.8274,,-737.80335654,-1.9363549699999805,2.5185000000000004,rattle,Al2O3_Pna2_1_s19_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s19_0_-10.0%,-733.80923144,True
576,601,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s36_0,-50.0%,-739.33266516,2.8062000000000005,0.0168870407500003,4.8274,,-737.80335654,-7.459788690000051,2.8062000000000005,rattle,Al2O3_Pna2_1_s36_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s36_0_-50.0%,-739.33266516,True
594,619,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s33_0,-60.0%,-739.73784892,2.0568,0.0168870407500003,4.8274,,-737.80335654,-7.864972450000051,2.0568,rattle,Al2O3_Pna2_1_s33_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s33_0_-60.0%,-739.73784892,True
