,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Vr_max,Eg,Ev
567,Al2O9Y4,0109092,8,0.8157285441681976,7.361605026634201,6.005071351117602,-2.8945619964631555,4.122,6.2906
569,Al2O9Y4,0109092,8,0.8157285441681976,7.361605026634201,6.005071351117602,-3.290655589970924,4.122,6.2906
576,Al2O9Y4,0109092,9,1.0499545824424246,7.361605026634201,7.729350931845765,-2.8945619964631555,4.122,5.7929
578,Al2O9Y4,0109092,9,1.0499545824424246,7.361605026634201,7.729350931845765,-3.290655589970924,4.122,5.7929
585,Ba1O5Ti2,0109333,1,0.5529393971486672,5.950671452374639,3.290360685505817,-1.9122077365342869,2.9058,5.5111
590,Ba1O5Ti2,0109333,2,0.7881404356529105,5.950671452374639,4.689964790901886,-1.9122077365342869,2.9058,5.4485
595,Ba1O5Ti2,0109333,3,0.8754184414702398,5.950671452374639,5.209327528539256,-1.9122077365342869,2.9058,5.8221
600,Ba1O5Ti2,0109333,4,0.7150894677399054,5.950671452374639,4.255262481573631,-1.9122077365342869,2.9058,6.0078
605,Ba1O5Ti2,0109333,5,0.767791110834735,5.950671452374639,4.56887264463127,-1.9122077365342869,2.9058,5.5756
610,Ba4O30Ti13,0109458,1,0.6960991216427224,8.371266803694754,5.827231469088797,-1.9122077365342869,2.6742,5.8796
619,Ba4O30Ti13,0109458,2,0.7523784277269103,8.371266803694754,6.298360555846337,-1.9122077365342869,2.6742,5.5618
628,Ba4O30Ti13,0109458,3,0.8183658340131028,8.371266803694754,6.850758739551859,-1.9122077365342869,2.6742,5.454
637,Ba4O30Ti13,0109458,4,0.8359140271068428,8.371266803694754,6.99765934586231,-1.9122077365342869,2.6742,5.573
646,Ba4O30Ti13,0109458,5,0.7883942257132612,8.371266803694754,6.599858409938053,-1.9122077365342869,2.6742,5.0833
655,Ba4O30Ti13,0109458,6,0.8399314158129016,8.371266803694754,7.031289978574878,-1.9122077365342869,2.6742,5.4196
664,Ba4O30Ti13,0109458,7,0.8546315414461982,8.371266803694754,7.154348652299037,-1.9122077365342869,2.6742,5.2835
673,Ba4O30Ti13,0109458,8,0.6674958042855939,8.371266803694754,5.587785468021522,-1.9122077365342869,2.6742,5.0505
682,Ba4O30Ti13,0109458,9,0.7960051146019202,8.371266803694754,6.663571191438293,-1.9122077365342869,2.6742,5.9937
691,In1O3Y1,0109668,1,0.7469000062438595,10.569515789975542,7.894371409527305,-1.5993795332042406,2.0438,4.5724
695,In1O3Y1,0109668,2,0.6965767643575455,10.569515789975542,7.36247910980715,-1.5993795332042406,2.0438,4.4242
699,In1O3Y1,0109668,3,0.74292749927548,10.569515789975542,7.852383934399229,-1.5993795332042406,2.0438,3.9393
703,In1O3Y1,0109668,4,0.7284994381095276,10.569515789975542,7.699886314086962,-1.5993795332042406,2.0438,3.7667
707,Ba3In2O6,0109684,1,0.7220691510749713,8.036540027724481,5.802937635399042,-1.5993795332042406,0.8592,3.6078
709,Ba3In2O6,0109684,2,0.6613154575714112,8.036540027724481,5.314688145725578,-1.5993795332042406,0.8592,3.9611
711,Ca3O7Ti2,0109710,1,0.8037902148201964,9.913427910362126,7.968316349674504,-1.9122077365342869,2.5897,5.5141
715,Ca3O7Ti2,0109710,2,0.769707359052723,9.913427910362126,7.630438416044387,-1.9122077365342869,2.5897,5.7494
719,Ca3O7Ti2,0109710,3,0.8288585449290438,9.913427910362126,8.216829433041722,-1.9122077365342869,2.5897,5.7714
723,Ca3O7Ti2,0109710,4,0.8580411924835779,9.913427910362126,8.506129505807102,-1.9122077365342869,2.5897,5.9078
727,Ca1In2O4,0109770,1,0.7381829394379394,7.115055287634127,5.252212426489214,-1.5993795332042406,2.02,4.4374
728,In2O5Ti1,0110156,1,0.7966646906062232,6.140643353615102,4.892033737430936,-1.5993795332042406,1.9703,4.4726
733,In2O5Ti1,0110156,2,0.7145641147280302,6.140643353615102,4.387883381836538,-1.5993795332042406,1.9703,4.0504
738,In2O5Ti1,0110156,3,0.707729640661217,6.140643353615102,4.345915314082706,-1.5993795332042406,1.9703,4.1145
743,In2O5Ti1,0110156,4,0.7287026482294974,6.140643353615102,4.474703073612186,-1.5993795332042406,1.9703,3.9906
748,In2O5Ti1,0110156,5,0.976408944479485,6.140643353615102,5.995779095328286,-1.5993795332042406,1.9703,4.7203
753,In2O5Sr2,0110270,1,0.7114112234088641,8.39029548475054,5.96895037556825,-1.5993795332042406,0.9938,4.0388
758,In2O5Sr2,0110270,2,0.6882645490474082,8.39029548475054,5.7747429381863356,-1.5993795332042406,0.9938,3.2738
763,In2O5Sr2,0110270,3,0.7256543572507007,8.39029548475054,6.088454477130109,-1.5993795332042406,0.9938,3.8089
768,Ba2In2O5,0110289,1,0.7645729211788466,8.162910568541536,6.241140378711481,-1.5993795332042406,0.9164,3.8319
771,Ba2In2O5,0110289,2,0.651042430835723,8.162910568541536,5.314401139237895,-1.5993795332042406,0.9164,3.0675
774,Ba2In2O5,0110289,3,0.8156154654288268,8.162910568541536,6.657796102614894,-1.5993795332042406,0.9164,3.5441
777,In1La1O3,0110733,1,0.7932478878262375,9.322552282073012,7.395094906904086,-1.5993795332042406,2.647,4.7424
779,In1La1O3,0110733,2,0.7297490127876013,9.322552282073012,6.803123324503579,-1.5993795332042406,2.647,4.6469
781,La2O5Ti1,0110854,1,0.8582860360277743,9.61624261236955,8.25348675325203,-1.9122077365342869,3.4608,6.2634
784,La2O5Ti1,0110854,1,0.8582860360277743,9.61624261236955,8.25348675325203,-3.100471243274967,3.4608,6.2634
786,La2O5Ti1,0110854,2,0.8380589176802731,9.61624261236955,8.058977875873346,-1.9122077365342869,3.4608,6.0535
789,La2O5Ti1,0110854,2,0.8380589176802731,9.61624261236955,8.058977875873346,-3.100471243274967,3.4608,6.0535
791,La2O5Ti1,0110854,3,0.7489924356423753,9.61624261236955,7.202492975966667,-1.9122077365342869,3.4608,5.6119
794,La2O5Ti1,0110854,3,0.7489924356423753,9.61624261236955,7.202492975966667,-3.100471243274967,3.4608,5.6119
796,La2O5Ti1,0110854,4,0.7988249156393219,9.61624261236955,7.681694193593358,-1.9122077365342869,3.4608,6.7189
799,La2O5Ti1,0110854,4,0.7988249156393219,9.61624261236955,7.681694193593358,-3.100471243274967,3.4608,6.7189
801,La2O5Ti1,0110854,5,0.9814855809735068,9.61624261236955,9.43820346718372,-1.9122077365342869,3.4608,5.9992
804,La2O5Ti1,0110854,5,0.9814855809735068,9.61624261236955,9.43820346718372,-3.100471243274967,3.4608,5.9992
806,La4O12Ti3,0111085,1,0.8542774674936183,8.968161993809131,7.661298716143784,-1.9122077365342869,3.0176,5.8879
808,La4O12Ti3,0111085,2,0.6657641314164341,8.968161993809131,5.970680580210212,-1.9122077365342869,3.0176,5.7683
810,In2O4Sr1,0111316,1,0.6518894034682012,8.355551389027806,5.446895410641236,-1.5993795332042406,1.8126,4.4539
814,In2O4Sr1,0111316,2,0.7108831430029255,8.355551389027806,5.939820632954547,-1.5993795332042406,1.8126,4.4839
818,In2O4Sr1,0111316,3,0.7170186131857508,8.355551389027806,5.9910858693629905,-1.5993795332042406,1.8126,4.2635
822,In2O4Sr1,0111316,4,0.7379729078587358,8.355551389027806,6.166170555323948,-1.5993795332042406,1.8126,4.3469
826,O7Sr3Ti2,0111479,1,0.5336687892297798,10.12106507427104,5.4012965439020375,-1.9122077365342869,2.0175,5.1173
