,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Vr_max,Eg,Ev
38,Mn2Ni1O4,0011908,1,0.7764854967380923,7.47988757272585,5.808024217453114,-0.5156224113418986,1.162,3.539
39,Mn2Ni1O4,0011908,1,0.7764854967380923,7.47988757272585,5.808024217453114,-0.5156224113418986,1.162,3.5487
40,Fe2Mg1O4,0011911,1,0.8590430582656551,7.597371453351746,6.526469208067468,-1.2626789622871115,1.1513,3.8945
41,Fe2Mg1O4,0011911,1,0.8590430582656551,7.947675654645458,6.827395600470126,-1.2626789622871115,1.1513,3.772
42,Mn1Ni1O3,0012011,1,0.8031871851741935,7.6810211461752065,6.169297753659922,-0.433744681701679,1.5539,2.704
43,Mn1Ni1O3,0012072,1,0.8161126787067305,7.6810211461752065,6.26857874280809,-0.433744681701679,1.513,2.8808
44,Ba1Mn1O2,0012370,1,0.6693153725523344,6.563287837735299,4.392909444282008,-1.994603679653242,1.7167,5.1318
45,Al2Ca1O4,0107269,1,0.9323512142230825,8.997992672052156,8.389289393358228,-2.8945619964631555,4.3548,6.4142
46,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.185
47,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.3263
48,Al2Ca1O4,0107269,1,0.9323512142230825,8.997992672052156,8.389289393358228,-2.8945619964631555,4.3548,6.2954
49,Al2Ca1O4,0107269,1,0.9323512142230825,8.997992672052156,8.389289393358228,-2.8945619964631555,4.3548,6.4336
50,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.2966
51,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.2656
52,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.3068
53,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.1267
54,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.3209
55,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.3739
56,Al2Ca1O4,0107269,1,0.9323512142230825,7.161280213221427,6.676828302188733,-2.8945619964631555,4.3548,6.2817
57,Al4Ca1O7,0107702,1,0.8876203289788002,7.161280213221427,6.356497898768975,-2.8945619964631555,4.0231,6.2426
58,Al4Ca1O7,0107702,1,0.8876203289788002,7.161280213221427,6.356497898768975,-2.8945619964631555,4.0231,6.3909
59,Al4Ca1O7,0107702,1,0.8876203289788002,7.161280213221427,6.356497898768975,-2.8945619964631555,4.0231,6.2107
60,Al4Ca1O7,0107702,1,0.8876203289788002,7.986851631586046,7.0892918727332725,-2.8945619964631555,4.0231,6.7006
61,Al2Ca2O5,0107847,1,0.8226262812672677,10.834705130882886,8.912913190445572,-2.8945619964631555,3.5745,6.0239
62,Al2Ca2O5,0107847,1,0.8226262812672677,8.997992672052156,7.40198525068039,-2.8945619964631555,3.5745,6.5147
63,Al2Ca2O5,0107847,1,0.8226262812672677,12.671417589713617,10.423841130210755,-2.8945619964631555,3.5745,6.6988
64,Al6Ca5O14,0107855,1,1.058122559179428,8.997992672052156,9.520979033629569,-2.8945619964631555,4.2323,6.6404
65,Al6Ca5O14,0107855,1,1.058122559179428,7.161280213221427,7.577512146214857,-2.8945619964631555,4.2323,6.1511
66,Al6Ca5O14,0107855,1,1.058122559179428,5.3245677543906975,5.634045258800145,-2.8945619964631555,4.2323,6.3502
67,Al6Ca5O14,0107855,1,1.058122559179428,8.997992672052156,9.520979033629569,-2.8945619964631555,4.2323,6.5272
68,Al6Ca5O14,0107855,1,1.058122559179428,8.997992672052156,9.520979033629569,-2.8945619964631555,4.2323,6.5428
69,Al6Ca5O14,0107855,1,1.058122559179428,8.172421253687538,8.647423291644207,-2.8945619964631555,4.2323,6.2626
70,Al6Ca5O14,0107855,1,1.058122559179428,10.009133712518267,10.590890179058919,-2.8945619964631555,4.2323,6.1399
71,Al6Ca5O14,0107855,1,1.058122559179428,7.161280213221427,7.577512146214857,-2.8945619964631555,4.2323,6.1143
72,Al6Ca5O14,0107855,1,1.058122559179428,8.172421253687538,8.647423291644207,-2.8945619964631555,4.2323,6.3765
73,Al2Ba1O4,0108143,1,0.8033978413947505,5.3245677543906975,4.2777462402375805,-2.8945619964631555,4.1114,6.1846
74,Al2Ba1O4,0108143,1,0.8033978413947505,5.3245677543906975,4.2777462402375805,-2.8945619964631555,4.1114,6.1484
75,Al2Ba1O4,0108143,1,0.8033978413947505,5.3245677543906975,4.2777462402375805,-2.8945619964631555,4.1114,6.1849
76,Al2Ba1O4,0108143,1,0.8033978413947505,5.3245677543906975,4.2777462402375805,-2.8945619964631555,4.1114,6.1409
77,Al2Ba1O4,0108143,1,0.8033978413947505,5.3245677543906975,4.2777462402375805,-2.8945619964631555,4.1114,6.0963
78,Al2Ba1O4,0108143,1,0.8033978413947505,5.3245677543906975,4.2777462402375805,-2.8945619964631555,4.1114,6.1325
