,formula,Ev,mp_Eg,mp_ehull,Eg,bulk_type,vacancy,space_group,Eb,Vr_max
0,Al2O3,-1.9363816399999916,4.8274,0.0168870407500003,2.5283999999999995,rattle,Al2O3_Pna2_1_s27_0,Pna2_1,,-2.8945619964631555
0,Al2O3,-0.9612794699999778,4.8274,0.0168870407500003,1.2508,rattle,Al2O3_Pna2_1_s39_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,2.993435700000008,4.8274,0.0168870407500003,2.3076000000000008,rattle,Al2O3_Pna2_1_s38_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,2.5856341299999475,4.8274,0.0168870407500003,2.8228,rattle,Al2O3_Pna2_1_s20_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,In2O3,3.7168352100003847,0.7626999999999997,0.0495181169999998,1.4895000000000005,rattle,In2O3_Pbcn_s8_0,Pbcn,7.4787590664084815,-1.5993795332042406
0,In2O3,3.7117521400002023,0.7626999999999997,0.0495181169999998,1.4905999999999988,rattle,In2O3_Pbcn_s9_0,Pbcn,7.4787590664084815,-1.5993795332042406
0,In2O3,3.2464003800002263,0.7626999999999997,0.0495181169999998,1.6546999999999992,rattle,In2O3_Pbcn_s16_0,Pbcn,7.4787590664084815,-1.5993795332042406
0,Ga2O3,5.468888739999942,2.4025,0.0297935599999963,2.2523,rattle,Ga2O3_R-3c_s4_0,R-3c,9.883090397527349,-1.8812876656363955
0,In2O3,3.833634870000127,,,1.2653999999999996,higher_symmetry,In2O3_R-3c_s4_0,R-3c,7.4787590664084815,-1.5993795332042406
0,Tl2O,3.574134160000243,0.8411999999999997,0.0028308533333332,0.5395000000000003,rattle,Tl2O_C2__m_s5_0,C2__m,8.094978726806717,-0.8674893634033586
0,Tl2O,3.574152729999854,0.8411999999999997,0.0028308533333332,0.5393999999999997,rattle,Tl2O_C2__m_s4_0,C2__m,8.094978726806717,-0.8674893634033586
0,Al2O3,7.6723779299999695,,,3.8391,higher_symmetry,Al2O3_C2__m_s8_0,C2__m,10.649135508781395,-2.8945619964631555
0,Al2O3,7.17247260000015,,,4.2277,higher_symmetry,Al2O3_C2__m_s6_0,C2__m,7.986851631586046,-2.8945619964631555
0,Al2O3,7.454674360000057,,,3.829099999999999,higher_symmetry,Al2O3_C2__m_s4_0,C2__m,7.986851631586046,-2.8945619964631555
0,Al2O3,7.110918109999988,4.4553,0.009381222,3.571999999999999,rattle,Al2O3_C2__m_s6_0,C2__m,7.986851631586046,-2.8945619964631555
0,Al2O3,7.226467249999972,4.4553,0.009381222,3.1791,rattle,Al2O3_C2__m_s5_0,C2__m,7.986851631586046,-2.8945619964631555
0,Al2O3,7.031895079999844,4.4553,0.009381222,3.513100000000001,rattle,Al2O3_C2__m_s4_0,C2__m,7.986851631586046,-2.8945619964631555
0,Ga2O3,5.4007392899999775,2.0077999999999996,0.0,1.9365999999999992,rattle,Ga2O3_C2__m_s8_0,C2__m,7.412317798145512,-1.8812876656363955
0,Ga2O3,5.64782210999981,2.0077999999999996,0.0,1.8141,rattle,Ga2O3_C2__m_s6_0,C2__m,9.883090397527349,-1.8812876656363955
0,Ga2O3,4.9802382799997975,2.0077999999999996,0.0,2.4068,rattle,Ga2O3_C2__m_s4_0,C2__m,7.412317798145512,-1.8812876656363955
0,Al2O3,7.741677619999949,5.313199999999999,0.0933559135000008,4.314299999999999,rattle,Al2O3_Pbcn_s8_0,Pbcn,10.649135508781395,-2.8945619964631555
0,Al2O3,7.602890649999994,5.313199999999999,0.0933559135000008,4.2193000000000005,rattle,Al2O3_Pbcn_s16_0,Pbcn,10.649135508781395,-2.8945619964631555
