,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,merge_on,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,vr_max,Eb_sum
3421,LiGeBO4,LiGeBO4_Va_O1,4.3668,-2.4948268210714293,2.1423009090226213,2.7284502198952163,4.87529953999991,0,251,LiGeBO4_Va_O1251,-2.0,-1.9142952150970656,-1.923085865588424,0.9571476075485328,-1.502819088333178,10.249999516788934
3424,LiGeBO4,LiGeBO4_Va_O1,4.3668,-2.4948268210714293,2.1423009090226213,2.7284502198952163,2.572869204346727,1,251,LiGeBO4_Va_O1251,-2.0,-1.9142952150970656,-1.923085865588424,0.9571476075485328,-1.502819088333178,10.249999516788934
3427,LiGeBO4,LiGeBO4_Va_O1,4.3668,-2.4948268210714293,2.1423009090226213,2.7284502198952163,0.2278817313932823,2,251,LiGeBO4_Va_O1251,-2.0,-1.9142952150970656,-1.923085865588424,0.9571476075485328,-1.502819088333178,10.249999516788934
3430,LiInGeO4,LiInGeO4_Va_O1,2.1927000000000003,-2.173107275119047,2.179260467474238,2.3440319972379275,4.404819460000008,0,111,LiInGeO4_Va_O1111,-2.0,-1.7253380044407811,-1.7253380044407811,0.8626690022203907,-1.502819088333178,7.774198977690482
3433,LiInGeO4,LiInGeO4_Va_O1,2.1927000000000003,-2.173107275119047,2.179260467474238,2.3440319972379275,2.6099674851999417,1,111,LiInGeO4_Va_O1111,-2.0,-1.7253380044407811,-1.7253380044407811,0.8626690022203907,-1.502819088333178,7.774198977690482
3436,LiInGeO4,LiInGeO4_Va_O1,2.1927000000000003,-2.173107275119047,2.179260467474238,2.3440319972379275,-0.4259494999170857,2,111,LiInGeO4_Va_O1111,-2.0,-1.7253380044407811,-1.7253380044407811,0.8626690022203907,-1.502819088333178,7.774198977690482
3439,LiInGeO4,LiInGeO4_Va_O2,2.1927000000000003,-2.173107275119047,1.9411984979021404,2.1485906027408217,3.863960669999992,0,95,LiInGeO4_Va_O295,-2.0,-1.7381365527611885,-1.7381365527611885,0.8690682763805943,-1.502819088333178,7.516752331736339
3442,LiInGeO4,LiInGeO4_Va_O2,2.1927000000000003,-2.173107275119047,1.9411984979021404,2.1485906027408217,2.462921302607313,1,95,LiInGeO4_Va_O295,-2.0,-1.7381365527611885,-1.7381365527611885,0.8690682763805943,-1.502819088333178,7.516752331736339
3445,LiInGeO4,LiInGeO4_Va_O2,2.1927000000000003,-2.173107275119047,1.9411984979021404,2.1485906027408217,0.8516604951266005,2,95,LiInGeO4_Va_O295,-2.0,-1.7381365527611885,-1.7381365527611885,0.8690682763805943,-1.502819088333178,7.516752331736339
3448,LiInGeO4,LiInGeO4_Va_O3,2.1927000000000003,-2.173107275119047,1.9675439401673396,1.935897082154968,3.824830659999984,0,107,LiInGeO4_Va_O3107,-2.0,-1.68108622240478,-1.68108622240478,0.84054311120239,-1.502819088333178,7.270032243460409
3451,LiInGeO4,LiInGeO4_Va_O3,2.1927000000000003,-2.173107275119047,1.9675439401673396,1.935897082154968,2.5773024485981955,1,107,LiInGeO4_Va_O3107,-2.0,-1.68108622240478,-1.68108622240478,0.84054311120239,-1.502819088333178,7.270032243460409
3454,LiInGeO4,LiInGeO4_Va_O3,2.1927000000000003,-2.173107275119047,1.9675439401673396,1.935897082154968,1.3331370376094045,2,107,LiInGeO4_Va_O3107,-2.0,-1.68108622240478,-1.68108622240478,0.84054311120239,-1.502819088333178,7.270032243460409
3457,LiInO2,LiInO2_Va_O1,1.9281999999999997,-2.0632245620833327,1.4302139050490523,1.639714659382878,4.779716080000023,0,63,LiInO2_Va_O163,-2.0,-1.436255824413595,-1.436255824413595,0.7181279122067975,-1.5993795332042406,7.274900087669636
