,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,vac_rerun,E_vac_rerun,Unnamed: 20,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,site,group,poscar_name,E_vac_min,minimum
219,233,alkali_metal_oxides,Rb2O,Fm-3m,,,18.0,-74.06387706,,,,,,s4_0,0.0%,-1322.8409609,0.9367,0.0031695866666665,1.3192,True,-1322.68527071,,,-1333.14978708,4.534036299999956,0.9367,rattle,s4_0,Rb2O_Fm-3m_s4_0,alkali_metal_oxides_Rb2O_Fm-3m,-1322.8409609,True
220,234,alkali_metal_oxides,Rb2O,Fm-3m,,,18.0,-74.06387706,,,,,,s4_0,0.0%,-1322.8409609,0.9367,0.0031695866666665,1.3192,,,,,-1333.14978708,4.378346109999869,0.9367,rattle,s4_0,Rb2O_Fm-3m_s4_0,alkali_metal_oxides_Rb2O_Fm-3m,-1322.8409609,True
231,246,alkali_metal_oxides,K2O,Fm-3m,,,18.0,-43.07782753,,,,,,s5_0,-40.0%,-764.66759839,1.0683,0.0,1.7072,True,-764.53743767,,,-775.40089554,4.932977799999934,1.0683,rattle,s5_0,K2O_Fm-3m_s5_0,alkali_metal_oxides_K2O_Fm-3m,-764.66759839,True
232,247,alkali_metal_oxides,K2O,Fm-3m,,,18.0,-43.07782753,,,,,,s5_0,-40.0%,-764.66759839,1.0683,0.0,1.7072,,,,,-775.40089554,4.802817079999999,1.0683,rattle,s5_0,K2O_Fm-3m_s5_0,alkali_metal_oxides_K2O_Fm-3m,-764.66759839,True
243,258,alkali_metal_oxides,K2O,Fm-3m,,,18.0,-43.07782753,,,,,,s4_0,-50.0%,-764.66467638,1.068,0.0,1.7072,True,-764.53459607,,,-775.40089554,4.935819399999945,1.068,rattle,s4_0,K2O_Fm-3m_s4_0,alkali_metal_oxides_K2O_Fm-3m,-764.66467638,True
244,259,alkali_metal_oxides,K2O,Fm-3m,,,18.0,-43.07782753,,,,,,s4_0,-50.0%,-764.66467638,1.068,0.0,1.7072,,,,,-775.40089554,4.805739090000019,1.068,rattle,s4_0,K2O_Fm-3m_s4_0,alkali_metal_oxides_K2O_Fm-3m,-764.66467638,True
253,269,alkali_metal_oxides,Cs2O,R-3m,,,32.0,-59.49863268,,,,,,s16_0,60.0%,-1894.52463189,0.7563,0.0,0.5831999999999997,True,-1894.25637932,,,-1903.95624576,3.769386370000051,0.7563,rattle,s16_0,Cs2O_R-3m_s16_0,alkali_metal_oxides_Cs2O_R-3m,-1894.52463189,True
254,270,alkali_metal_oxides,Cs2O,R-3m,,,32.0,-59.49863268,,,,,,s16_0,60.0%,-1894.52463189,0.7563,0.0,0.5831999999999997,,,,,-1903.95624576,3.5011338000000922,0.7563,rattle,s16_0,Cs2O_R-3m_s16_0,alkali_metal_oxides_Cs2O_R-3m,-1894.52463189,True
271,288,alkali_metal_oxides,Na2O,Fm-3m,,,64.0,-17.26364116,,,,,,s16_0,-50.0%,-1093.62011122,1.0472,0.0,1.8736,True,-1093.56650835,,,-1104.87303424,5.3760458199998755,1.0472,rattle,s16_0,Na2O_Fm-3m_s16_0,alkali_metal_oxides_Na2O_Fm-3m,-1093.62011122,True
272,289,alkali_metal_oxides,Na2O,Fm-3m,,,64.0,-17.26364116,,,,,,s16_0,-50.0%,-1093.62011122,1.0472,0.0,1.8736,,,,,-1104.87303424,5.322442950000026,1.0472,rattle,s16_0,Na2O_Fm-3m_s16_0,alkali_metal_oxides_Na2O_Fm-3m,-1093.62011122,True
286,303,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s32_0,30.0%,-2299.99037107,1.3935999999999993,,,,,,,True,-2299.70996711,,-2309.73013764,,4.089690460000087,1.3935999999999993,higher_symmetry,s32_0,In2O3_Pbca_s32_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2299.99037107,True
